ID	Modulo	Pregunta	Opciones de respuesta
D1	IDENTIFICACIÓN DEL HOGAR	Todas las personas que viven en esta vivienda, ¿dependen de un mismo fondo de alimentación, es decir, conforman un hogar?	1 Si pase a preg. 3, 2 No
D2	IDENTIFICACIÓN DEL HOGAR	¿Cuántos hogares comparten esta vivienda? Si son 6 o más hogares es una vivienda COLECTIVA, Sustituya.	Anote cantidad.
E0	COMPOSICIÓN DEL HOGAR	¿Cuántas mujeres de 15 años y más residen habitualmente en este hogar?	Anote cantidad.... Si responde 0. Finalice la entrevista. Si responde 1 o más continúe.
E3	COMPOSICIÓN DEL HOGAR	Por favor diganme el nombre, el apellido y la edad (en años cumplidos) de todas las personas que integran este hogar.	(Listar Nombres y Apellidos)
E4	COMPOSICIÓN DEL HOGAR	¿Cuántos años cumplidos tiene?	(Anote Edad)
E5	COMPOSICIÓN DEL HOGAR	Sexo:	1-Hombre, 2-Mujer
E6	COMPOSICIÓN DEL HOGAR	Qué relación de parentesco tiene con el/la jefe/a del hogar?	1. Jefe/a o persona de referencia, 2 Esposo/a o compañero/a, 3. Hijo/a de ambos, 4. Hijo/a sólo de jefe/a, 5. Hijo/a del esposo/a o compañero/a, 6. Yerno/nuera, 7. Padre/madre, 8. Suegro/a, 9. Hermano/a, 10. Cuñado/a, 11. Nieto/a, 12. Otro pariente, 13. Otro no pariente, 14. Servicio doméstico o familiar del mismo
E7	COMPOSICIÓN DEL HOGAR	¿La madre integra este hogar?	1-Si, 2-No Pase a preg 8
E7_1	COMPOSICIÓN DEL HOGAR	Registre el número de persona	
E8	COMPOSICIÓN DEL HOGAR	¿El padre integra este hogar?	1-si, 2-No Pase a preg 8 (probablemente debería ser 9)
E8_1	COMPOSICIÓN DEL HOGAR	Registre el número de persona	
F9	ASCENDENCIA ETNICO-RACIAL DE LA ENTREVISTADA	¿Usted tiene ascendencia...	(Ver subpreguntas F9_1 a F9_5)
F9_1	ASCENDENCIA ETNICO-RACIAL DE LA ENTREVISTADA	9.1 Afro o Negra?	1 Si, 2 No
